epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41595,0.37724,2.72817,0.92363,0.00333,1,0.59557,0.57447,0.07904,2.81025,0.77806,4e-05,4e-05,4e-05
2,4.53705,0.42235,2.87053,0.94656,0.00333,1,0.99324,0.99324,0.09596,2.8012,0.77471,9.901e-05,9.901e-05,9.901e-05
3,5.63418,0.45544,2.23051,0.92056,0.00333,1,0.995,0.995,0.13699,2.72713,0.76976,0.000156832,0.000156832,0.000156832
4,6.69735,0.41795,1.33218,0.8783,1,0.81855,0.995,0.9788,0.20164,2.30226,0.77371,0.000213466,0.000213466,0.000213466
5,7.78025,0.49843,0.94025,0.98233,0.98836,1,0.995,0.94058,0.30376,1.94213,0.78755,0.000268912,0.000268912,0.000268912
6,8.85087,0.51749,0.96694,0.93093,1,0.69393,0.95669,0.9045,0.38546,2.41074,0.84934,0.00032317,0.00032317,0.00032317
7,9.9135,0.53339,1.01343,0.93755,1,0.56559,0.98084,0.91129,0.37368,2.46021,0.85885,0.00037624,0.00037624,0.00037624
8,10.982,0.51803,1.06305,0.92955,1,0.66691,0.93311,0.88901,0.35263,2.49643,0.85128,0.000428122,0.000428122,0.000428122
9,12.0713,0.5218,0.97735,0.95175,1,0.52064,0.82994,0.79357,0.51881,2.67558,0.98878,0.000478816,0.000478816,0.000478816
10,13.14,0.44553,0.88556,0.87542,1,0.65151,0.96183,0.8828,0.36728,2.3818,0.82433,0.000528322,0.000528322,0.000528322
11,14.2106,0.444,0.80881,0.88769,0.96081,0.9375,0.98424,0.90927,0.35857,1.89392,0.8183,0.00057664,0.00057664,0.00057664
12,15.286,0.41152,0.80292,0.86728,1,0.95187,0.97181,0.91382,0.40688,1.85268,0.83118,0.00062377,0.00062377,0.00062377
13,16.3684,0.5066,0.84076,0.91364,0.97625,0.9375,0.99149,0.93095,0.3272,1.58352,0.79574,0.000669712,0.000669712,0.000669712
14,17.4426,0.53509,0.855,0.97216,0.968,0.94557,0.99136,0.90415,0.40793,1.66827,0.81646,0.000714466,0.000714466,0.000714466
15,18.5486,0.52762,0.83784,0.94224,1,0.87002,0.98058,0.8892,0.38939,1.86168,0.82413,0.000758032,0.000758032,0.000758032
16,19.5935,0.44053,0.7752,0.90551,0.99352,0.90625,0.9776,0.8959,0.42835,1.82398,0.83419,0.00080041,0.00080041,0.00080041
17,20.6358,0.46625,0.70789,0.88452,0.98701,0.90625,0.96112,0.90119,0.41936,1.68005,0.8258,0.0008416,0.0008416,0.0008416
18,21.6562,0.47312,0.70215,0.89875,0.99619,0.90625,0.97597,0.90735,0.37946,1.42354,0.80913,0.000881602,0.000881602,0.000881602
19,22.6927,0.51409,0.69913,0.93773,1,0.93243,0.99061,0.95168,0.35538,1.33597,0.80238,0.000920416,0.000920416,0.000920416
20,23.7454,0.4989,0.6918,0.91552,1,0.93425,0.99147,0.90847,0.36445,1.21008,0.80323,0.000958042,0.000958042,0.000958042
21,24.7802,0.46446,0.68611,0.90366,1,0.93493,0.99147,0.93105,0.35912,1.17298,0.80923,0.00099448,0.00099448,0.00099448
22,25.8134,0.48024,0.68261,0.90949,1,0.93679,0.98985,0.93732,0.34631,1.08477,0.8075,0.00102973,0.00102973,0.00102973
23,26.8449,0.47931,0.73308,0.90623,0.9916,0.9375,0.99147,0.93469,0.35687,1.05257,0.81272,0.00106379,0.00106379,0.00106379
24,27.8756,0.47749,0.6637,0.89814,0.99244,1,0.995,0.93891,0.33349,1.07363,0.81043,0.00109667,0.00109667,0.00109667
25,28.9007,0.50047,0.6696,0.92113,0.99576,1,0.995,0.9358,0.33185,1.02496,0.80687,0.00112835,0.00112835,0.00112835
26,29.9489,0.45178,0.64613,0.88251,0.99723,1,0.995,0.97589,0.284,0.74148,0.78899,0.00115885,0.00115885,0.00115885
27,30.9998,0.49418,0.67499,0.91454,0.99778,1,0.995,0.97441,0.26862,0.64742,0.78609,0.00118816,0.00118816,0.00118816
28,32.0347,0.52853,0.6662,0.94188,1,0.99976,0.995,0.94247,0.29588,0.81122,0.7914,0.00121628,0.00121628,0.00121628
29,33.0728,0.47734,0.6222,0.9359,1,0.99667,0.995,0.9316,0.34961,0.90406,0.80307,0.00124322,0.00124322,0.00124322
30,34.1158,0.50109,0.59763,0.91683,0.98748,1,0.995,0.95931,0.31701,1.18763,0.7987,0.00126896,0.00126896,0.00126896
31,35.1519,0.45499,0.57438,0.90621,0.99679,1,0.995,0.95418,0.3155,1.17141,0.79783,0.00129352,0.00129352,0.00129352
32,36.2015,0.40924,0.54348,0.87349,0.99651,1,0.995,0.96449,0.31551,0.97173,0.806,0.00131689,0.00131689,0.00131689
33,37.2585,0.46824,0.58318,0.90614,0.99621,1,0.995,0.95662,0.30636,0.71324,0.805,0.00133907,0.00133907,0.00133907
34,38.2799,0.47112,0.55112,0.90522,0.99214,1,0.995,0.9389,0.34827,0.51682,0.80776,0.0013466,0.0013466,0.0013466
35,39.318,0.52511,0.62764,0.93524,0.99786,1,0.995,0.92601,0.36976,0.49969,0.81402,0.0013268,0.0013268,0.0013268
36,40.3842,0.47964,0.58381,0.9038,0.99757,1,0.995,0.95652,0.33571,0.50812,0.80038,0.001307,0.001307,0.001307
37,41.4159,0.44043,0.56188,0.87886,0.99794,1,0.995,0.95904,0.31768,0.48208,0.7955,0.0012872,0.0012872,0.0012872
38,42.4902,0.51311,0.58332,0.9263,0.99701,1,0.995,0.95526,0.33288,0.48864,0.80759,0.0012674,0.0012674,0.0012674
39,43.5437,0.44721,0.54453,0.90055,0.99459,1,0.995,0.96012,0.32317,0.50908,0.80284,0.0012476,0.0012476,0.0012476
40,44.6133,0.49804,0.55679,0.92979,0.99724,1,0.995,0.96004,0.34896,0.53808,0.80676,0.0012278,0.0012278,0.0012278
41,45.6463,0.48308,0.53318,0.93285,0.99606,1,0.995,0.95853,0.33127,0.5621,0.80575,0.001208,0.001208,0.001208
42,46.7096,0.42706,0.51656,0.88371,1,0.93572,0.97591,0.95594,0.28996,0.97479,0.79787,0.0011882,0.0011882,0.0011882
43,47.7524,0.41357,0.46219,0.86877,0.89849,0.83003,0.93469,0.92188,0.28236,1.11377,0.79519,0.0011684,0.0011684,0.0011684
44,48.805,0.42427,0.5095,0.85751,1,0.93537,0.95538,0.91564,0.30829,1.10445,0.80887,0.0011486,0.0011486,0.0011486
45,49.8404,0.43088,0.48792,0.89615,0.98248,0.84375,0.92153,0.889,0.30507,1.35124,0.80806,0.0011288,0.0011288,0.0011288
46,50.8904,0.43807,0.50367,0.86866,0.92118,0.84375,0.9318,0.89023,0.30278,1.14371,0.8023,0.001109,0.001109,0.001109
47,51.9513,0.40042,0.45706,0.85963,0.98847,0.96875,0.9681,0.93509,0.31845,0.70109,0.80258,0.0010892,0.0010892,0.0010892
48,53.0034,0.45617,0.49459,0.92527,1,0.99849,0.995,0.96419,0.31422,0.44964,0.80055,0.0010694,0.0010694,0.0010694
