epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83718,0.44017,2.56584,1.00706,0.00333,1,0.97597,0.97227,0.10311,2.80525,0.78792,6e-05,6e-05,6e-05
2,5.04226,0.44305,2.44509,1.00968,0.00333,1,0.995,0.9891,0.1597,2.77512,0.78977,0.000138614,0.000138614,0.000138614
3,6.2608,0.4492,1.52698,1.00565,1,0.73499,0.995,0.94001,0.30658,2.34093,0.79628,0.000215644,0.000215644,0.000215644
4,7.43094,0.44607,1.67352,0.91597,1,0.91429,0.995,0.95044,0.29252,2.22647,0.80923,0.00029109,0.00029109,0.00029109
5,8.59531,0.57449,1.02989,0.99581,1,0.73676,0.96417,0.8411,0.46179,2.53551,0.87879,0.000364952,0.000364952,0.000364952
6,9.76816,0.58354,0.99203,0.99806,1,0.6621,0.95059,0.84639,0.498,2.58213,0.95836,0.00043723,0.00043723,0.00043723
7,10.921,0.55318,1.06687,1.00299,1,0.54733,0.8705,0.78364,0.593,2.63118,1.04666,0.000507924,0.000507924,0.000507924
8,12.0862,0.51095,0.92478,0.95664,0.99328,0.90323,0.9882,0.88442,0.38887,2.18469,0.83823,0.000577034,0.000577034,0.000577034
9,13.282,0.57535,0.85191,0.96148,1,0.88109,0.98094,0.88822,0.42861,2.074,0.84065,0.00064456,0.00064456,0.00064456
10,14.4468,0.53574,0.88663,0.93449,0.90541,0.61772,0.77712,0.64935,0.64447,2.3724,1.02973,0.000710502,0.000710502,0.000710502
11,15.67,0.55878,0.90418,0.9338,0.69169,0.58065,0.61274,0.41179,1.14937,2.94035,1.4157,0.00077486,0.00077486,0.00077486
12,16.8298,0.58929,0.98311,0.99327,0.82701,0.61703,0.69727,0.61159,0.77335,2.33545,1.17101,0.000837634,0.000837634,0.000837634
13,17.9952,0.58573,0.87233,1.02074,0.96086,0.7923,0.86939,0.76127,0.57923,1.87401,1.00843,0.000898824,0.000898824,0.000898824
14,19.1452,0.65386,0.83086,1.04365,0.95961,0.76668,0.86446,0.72529,0.67059,1.96854,1.01821,0.00095843,0.00095843,0.00095843
15,20.3117,0.61513,0.90056,0.97549,0.91743,0.71708,0.84933,0.67114,0.78378,2.08029,1.05508,0.00101645,0.00101645,0.00101645
16,21.4487,0.51963,0.78918,0.92241,0.77249,0.67742,0.81651,0.6895,0.70852,1.90449,1.01522,0.00107289,0.00107289,0.00107289
17,22.5818,0.57311,0.77344,0.95695,0.82322,0.70968,0.83872,0.73926,0.55951,1.71725,0.93249,0.00112774,0.00112774,0.00112774
18,23.7307,0.51493,0.71793,0.92691,0.87549,0.90741,0.91864,0.78325,0.59071,1.63215,0.93879,0.00118101,0.00118101,0.00118101
19,24.8737,0.49562,0.7008,0.94376,0.93232,0.93548,0.95953,0.83551,0.56126,1.26873,0.89679,0.0012327,0.0012327,0.0012327
20,26.0154,0.49004,0.71377,0.90064,0.95685,0.93548,0.97513,0.79932,0.55542,1.27527,0.86577,0.0012828,0.0012828,0.0012828
21,27.1622,0.56777,0.76497,1.00151,0.93587,1,0.98773,0.89382,0.39302,1.00383,0.82891,0.00133132,0.00133132,0.00133132
22,28.3122,0.55552,0.70941,0.98303,0.98054,0.93548,0.97217,0.8973,0.43339,0.9423,0.85166,0.00137825,0.00137825,0.00137825
23,29.4902,0.50166,0.66488,0.95024,1,0.89573,0.96236,0.87838,0.44702,0.9996,0.85525,0.0014236,0.0014236,0.0014236
